;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Daftar Isi Berkas;;;;;;;
UNIT PENGOLAH;;;: SUKU DINAS SUMBER DAYA AIR KOTA ADMINISTRASI JAKARTA UTARA;;;;
;;;;;;;
;;;;;;;
Nomor Berkas;Nomor Item Arsip;Kode Klasifikasi;Uraian Informasi Arsip;Tanggal;Jumlah;;Keterangan
1;1;-1.793.2;Surat Perintah Kerja kegiatan pengelolaan sda dan bangunan pengaman Pantai pada Wilayah Sungai Lintas Daerah Kabupaten/Kota ( CV.AKSARA BANJU MAS );07/03/23;1;Berkas;
;2;-1.793.2;Surat Pesanan Pek.Perbaikan Bangunan Jaga Pintu Air Marina;07/03/23;1;Berkas;
;3;-1.793.2;Surat Perintah Kerja Pek. Perbaikan Bangunan Jaga Pintu Air Marina;07/03/23;1;Berkas;
;4;-1.793.2;Surat Perintah Mulai Kerja  Pek.Perbaikan Bangunan Jaga Pintu Air Marina;07/03/23;1;Berkas;
;5;-1.793.2;Surat Penunjukan Penyedia Barang/Jasa (SPPBJ) Pek. Perbaikan Bangunan Jaga Pintu Air Marina;06/03/23;1;Berkas;
;6;PPBJ/2022;Pemenang Lelang Pek. Perbaikan Bangunan Jaga Pintu Air Marina;06/03/23;1;Berkas;
;7;PPBJ/2022;Peyampaian Berita Acara Hasil Pengadaan Langsung Pek. Perbaikan Bangunan Jaga Pintu Air Marina;06/03/23;1;Berkas;
;8;PPBJ/2022;Penetapan penyediaan pengadaan langsung Pek. Perbaikan Bangunan Jaga Pintu Air Marina;06/03/23;1;Berkas;
;9;PPBJ/2022;Berita Acara Hasil Pengadaan Langsung Pek. Perbaikan Bangunan Jaga Pintu Air Marina;06/03/23;1;Berkas;
;10;PPBJ/2022;Berita Acara Klarifikasi Teknis dan Negosiasi Pek. Perbaikan Bangunan Jaga Pintu Air Marina;03/03/23;1;Berkas;
;11;PPBJ/2022;Daftar Hadir Klarifikasi Teknis dan Negosiasi Pek. Perbaikan Bangunan Jaga Pintu Air Marina;03/03/23;1;Berkas;
;12;;Harga Negosiasi;03/03/23;1;Berkas;
;13;PPBJ/2022;Undangan  Klarifikasi Teknis dan Negosiasi Pek. Perbaikan Bangunan Jaga Pintu Air Marina;02/03/23;1;Berkas;
;14;PPBJ/2022;Berita Acara Hasil Evaluasi Pengadaan Pengadaan Barang Langsung Pek. Perbaikan Bangunan Jaga Pintu Air Marina;03/03/23;1;Berkas;
;15;PPBJ/2022;Lampiran Berita Acara Hasil Evaluasi Pengadaan Pengadaan Barang Langsung Pek. Perbaikan Bangunan Jaga Pintu Air Marina;03/03/23;1;Berkas;
;16;PPBJ/2022;Berita Acara Pembuktian Kualifikasi Pek. Perbaikan Bangunan Jaga Pintu Air Marina;03/03/23;1;Berkas;
;17;PPBJ/2022;Koreksi Aritmatika dan Evaluasi Prosentase Harga Penawaran Penyedia Barang/Jasa Terhadap Harga Perkiraan Sendiri (HPS);01/03/23;1;Berkas;
;18;PPBJ/2022;Hasil Pembukaan Surat Penawaran Harga Pek. Perbaikan Bangunan Jaga Pintu Air Marina;01/03/23;1;Berkas;
;19;PPBJ/2022;Berita Acara Pemasukan dan Pembukaan Surat Penawaran Harga Pek. Perbaikan Bangunan Jaga Pintu Air Marina;01/03/23;1;Berkas;
;20;;Daftar Hadir Pemasukan/Pembukaan Dokumen Penawaran (SPH);01/03/23;1;Berkas;
;21;PPBJ/2022;Berita Acara Pemberian Penjelasan (AANWIJING);;;Berkas;
;22;;Daftar Hadir Penjelasan (AANWIJING);;;Berkas;
;23;;Pakta Integritas Pek. Perbaikan Bangunan Jaga Pintu Air Marina;01/03/23;1;Berkas;
;24;PPBJ/2022;Undangan Pengadaan Langsung Pek. Perbaikan Bangunan Jaga Pintu Air Marina;28/02/23;1;Berkas;
;25;-1.793.2;Usulan Proses Pelaksanaan Permintaan Pengadaan Langsung;27/02/23;1;Berkas;
;26;;Rencana Anggaran Biaya Pek. Perbaikan Bangunan Jaga Pintu Air Marina;;1;Berkas;
;27;;Harga Perkiraan Sendiri Pek. Perbaikan Bangunan Jaga Pintu Air Marina;;1;Berkas;
;28;;Bill Of Quantity (BOQ);;1;Berkas;
;29;PPBJ/2022;Nota Dinas;;1;Berkas;
;30;;Kerangka Acuan Kerja;;1;Berkas;
;31;MJT/SPH/II/JU/2022;Penawaran Harga;01/03/23;1;Berkas;
;32;MJT/PPHP/II/JU/2022;Laporan Pekerjaan Selesai;01/03/23;1;Berkas;
;33;MJT/PPHP/II/JU/2022;Permohonan Pemeriksaan Hasil Pekerjaan;01/03/23;1;Berkas;
;34;-1.793.2;Pelaksanaan Pemeriksaan Hasil Pekerjaan;06/03/23;1;Berkas;
;35;BAP-ET/03/2022;Berita Acara Pemeriksaan / Evaluasi Teknis;10/04/23;1;Berkas;
;36;-1.793.2;Berita Acara Serah Terima Pekerjaan;11/04/23;1;Berkas;
